Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
0,AL,102520,MUSCLE SHOALS CITY,0.198,0.05349843,0.193,0.0477,0.299,0.05508435,0.292,0.0507,0.1,0.07678308,0.0994,0.0623,1303,1290,6,6,217.2,215.0
2,AL,102550,ONEONTA CITY,-0.0256,0.05702034,-0.0455,0.0503,-0.0678,0.05770051,-0.0575,0.0529,-0.0422,0.08112828,-0.012,0.0645,697,629,6,6,116.2,104.8
0,AL,102580,OPELIKA CITY,-0.208,0.05050232,-0.218,0.0455,-0.229,0.0508274,-0.223,0.0473,-0.0209,0.071648,-0.00471,0.0594,2167,2355,6,6,361.2,392.5
5,AL,102610,OPP CITY,-0.406,0.06168823,-0.359,0.0534,-0.11,0.05999429,-0.154,0.0548,0.296,0.08607584,0.205,0.0667,607,571,6,6,101.2,95.2
8,AL,102635,OXFORD CITY,-0.184,0.05102254,-0.182,0.0458,-0.105,0.05129557,-0.112,0.0477,0.0796,0.07233014,0.07,0.0598,1901,1899,6,6,316.8,316.5
0,AL,102640,OZARK CITY,-0.562,0.05497859,-0.529,0.0488,-0.428,0.05606049,-0.454,0.0515,0.134,0.07852642,0.0748,0.0632,929,931,6,6,154.8,155.2
5,AL,102650,PELL CITY,-0.29,0.05061611,-0.3,0.0455,-0.335,0.05033538,-0.328,0.0469,-0.0443,0.07138202,-0.0277,0.0592,1813,1889,6,6,302.2,314.8
7,AL,102670,PERRY COUNTY,-0.878,0.0729661,-0.921,0.0608,-1.19,0.06550276,-1.14,0.0593,-0.313,0.09842342,-0.224,0.0722,485,497,5,6,97.0,82.8
8,AL,102700,PHENIX CITY,-0.329,0.04871117,-0.344,0.0441,-0.418,0.04943466,-0.406,0.0461,-0.0892,0.06939214,-0.0622,0.0581,3365,3419,6,6,560.8,569.8
8,AL,102730,PICKENS COUNTY,-0.756,0.05235917,-0.741,0.0469,-0.714,0.05646659,-0.728,0.0518,0.0419,0.07695204,0.0132,0.0625,1144,1063,6,6,190.7,177.2
0,AL,102760,PIEDMONT CITY,-0.0867,0.06180461,0.000881,0.0536,0.465,0.06261229,0.374,0.0568,0.552,0.08791254,0.373,0.0677,527,500,6,6,87.8,83.3
0,AL,102790,PIKE COUNTY,-0.35,0.05524965,-0.36,0.0489,-0.419,0.0549198,-0.41,0.0506,-0.0691,0.07790524,-0.0496,0.0627,1040,1010,6,6,173.3,168.3
2,AL,102820,RANDOLPH COUNTY,-0.554,0.05321616,-0.535,0.0475,-0.519,0.05402664,-0.529,0.0499,0.0349,0.07579886,0.0062,0.0617,1005,933,6,6,167.5,155.5
0,AL,102850,ROANOKE CITY,-0.561,0.06152761,-0.512,0.0534,-0.35,0.05934468,-0.387,0.0543,0.211,0.08548607,0.125,0.0665,656,610,6,6,109.3,101.7
0,AL,102880,RUSSELL COUNTY,-0.335,0.05154938,-0.354,0.0463,-0.444,0.05187694,-0.428,0.0481,-0.109,0.07313782,-0.0738,0.0602,1661,1693,6,6,276.8,282.2
8,AL,102910,RUSSELLVILLE CITY,-0.365,0.05415992,-0.335,0.0482,-0.187,0.0548632,-0.215,0.0506,0.177,0.0770899,0.12,0.0624,1088,1145,6,6,181.3,190.8
3,AL,102940,SCOTTSBORO CITY,-0.229,0.05344242,-0.22,0.0477,-0.146,0.05466757,-0.156,0.0504,0.0832,0.07644749,0.0641,0.0621,1116,1111,6,6,186.0,185.2
7,AL,102970,SELMA CITY,-0.777,0.05262281,-0.802,0.0473,-1.04,0.05947641,-1.0,0.0541,-0.264,0.07942229,-0.201,0.0639,1431,1168,6,6,238.5,194.7
2,AL,103000,SHEFFIELD CITY,-0.481,0.06295064,-0.473,0.0543,-0.487,0.05846916,-0.49,0.0537,-0.006,0.08598064,-0.0172,0.0668,507,503,6,6,84.5,83.8
0,AL,103030,SHELBY COUNTY,-0.0884,0.0464319,-0.0891,0.0423,-0.0334,0.04702587,-0.0364,0.0441,0.055,0.06607645,0.0527,0.0561,9787,9842,6,6,1631.2,1640.3
8,AL,103062,ST CLAIR COUNTY,-0.153,0.04754316,-0.178,0.0432,-0.276,0.04799281,-0.257,0.0449,-0.123,0.06754226,-0.0798,0.057,4208,4338,6,6,701.3,723.0
8,AL,103090,SUMTER COUNTY,-1.0,0.06301236,-1.02,0.0547,-1.26,0.06490751,-1.23,0.0585,-0.257,0.09048689,-0.206,0.0691,577,441,6,6,96.2,73.5
8,AL,103120,SYLACAUGA CITY,-0.329,0.05539701,-0.345,0.049,-0.459,0.05515313,-0.441,0.0509,-0.13,0.07810617,-0.0953,0.0628,976,967,6,6,162.7,161.2
5,AL,103150,TALLADEGA CITY,-0.772,0.0634371,-0.772,0.0545,-0.873,0.05877029,-0.865,0.0538,-0.102,0.08669254,-0.0932,0.0672,768,826,5,6,153.6,137.7
7,AL,103180,TALLADEGA COUNTY,-0.449,0.04801655,-0.432,0.0436,-0.353,0.04879493,-0.367,0.0456,0.0964,0.06844804,0.0646,0.0575,3466,3304,6,6,577.7,550.7
0,AL,103210,TALLAPOOSA COUNTY,-0.519,0.05324498,-0.481,0.0475,-0.319,0.05344855,-0.351,0.0494,0.2,0.07545914,0.131,0.0614,1277,1260,6,6,212.8,210.0
7,AL,103240,TALLASSEE CITY,-0.297,0.05844395,-0.309,0.0513,-0.306,0.0610849,-0.297,0.0554,-0.00864,0.0846142,0.0114,0.0661,794,715,6,6,132.3,119.2
5,AL,103270,TARRANT CITY,-1.06,0.06251093,-1.05,0.0545,-1.18,0.06945812,-1.17,0.0618,-0.114,0.09358842,-0.122,0.0707,564,642,6,6,94.0,107.0
0,AL,103300,THOMASVILLE CITY,-0.704,0.059628,-0.638,0.0523,-0.422,0.06336426,-0.481,0.0573,0.282,0.08699734,0.157,0.0675,534,455,6,6,89.0,75.8
8,AL,103330,TROY CITY,-0.233,0.05590154,-0.269,0.0495,-0.374,0.0577679,-0.345,0.0529,-0.14,0.08039842,-0.0763,0.0641,829,736,6,6,138.2,122.7
0,AL,103360,TUSCALOOSA CITY,-0.414,0.04869042,-0.43,0.0441,-0.54,0.04911769,-0.526,0.0459,-0.126,0.06916249,-0.0957,0.058,4718,4836,6,6,786.3,806.0
5,AL,103390,TUSCALOOSA COUNTY,-0.376,0.04672429,-0.382,0.0426,-0.415,0.04721569,-0.41,0.0443,-0.0386,0.06641721,-0.0274,0.0563,8629,8581,6,6,1438.2,1430.2
0,AL,103420,TUSCUMBIA CITY,-0.362,0.05728573,-0.354,0.0504,-0.298,0.05739436,-0.307,0.0527,0.0635,0.081078,0.0465,0.0644,691,654,6,6,115.2,109.0
2,AL,103430,VESTAVIA HILLS CITY,0.559,0.05044892,0.549,0.0454,0.693,0.04968861,0.688,0.0464,0.133,0.07080209,0.139,0.0588,3379,3359,6,6,563.2,559.8
0,AL,103450,WALKER COUNTY,-0.419,0.0481857,-0.422,0.0437,-0.453,0.04864044,-0.45,0.0455,-0.0345,0.06845082,-0.0275,0.0575,3256,3190,6,6,542.7,531.7
0,AL,103480,WASHINGTON COUNTY,-0.498,0.05145253,-0.5,0.0462,-0.54,0.05310214,-0.536,0.0491,-0.0416,0.07392802,-0.0361,0.0607,1203,1079,6,6,200.5,179.8
