stateabb,sedaadmin,sedaadminname,subject,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
AL,100060,ANDALUSIA CITY,mth,-0.342,0.05801451,-0.273,0.051,0.0364,0.05956436,-0.0288,0.0543,0.378,0.08315189,0.244,0.0655,819,807,6,6,136.5,134.5
AL,100060,ANDALUSIA CITY,rla,-0.162,0.04893442,-0.157,0.0428,-0.123,0.04630921,-0.129,0.0419,0.0388,0.06737339,0.0278,0.0519,818,804,6,6,136.3,134.0
AL,100090,ANNISTON CITY,mth,-0.874,0.0564322,-0.873,0.05,-0.988,0.06025599,-0.977,0.0546,-0.114,0.08253472,-0.104,0.0651,786,835,6,6,131.0,139.2
AL,100090,ANNISTON CITY,rla,-0.736,0.04728075,-0.729,0.0416,-0.764,0.04613727,-0.757,0.0416,-0.0284,0.06595385,-0.0286,0.0513,786,834,6,6,131.0,139.0
AL,100100,ARAB CITY,mth,0.198,0.05311755,0.204,0.0474,0.413,0.05344317,0.394,0.0495,0.215,0.07530349,0.19,0.0614,1205,1189,6,6,200.8,198.2
AL,100100,ARAB CITY,rla,0.249,0.04107314,0.236,0.0371,0.231,0.04007784,0.234,0.0368,-0.0182,0.05728968,-0.00231,0.0468,1206,1191,6,6,201.0,198.5
AL,100120,ATHENS CITY,mth,-0.307,0.05211026,-0.302,0.0467,-0.257,0.05119051,-0.263,0.0476,0.0501,0.07305524,0.0384,0.0602,1749,2215,6,6,291.5,369.2
AL,100120,ATHENS CITY,rla,-0.159,0.03781676,-0.149,0.0345,-0.0697,0.0353021,-0.0789,0.033,0.0892,0.05173662,0.0703,0.0436,1731,2217,6,6,288.5,369.5
AL,100180,ATTALLA CITY,mth,-0.383,0.05885973,-0.404,0.0514,-0.474,0.05665525,-0.46,0.0522,-0.0905,0.08164777,-0.0559,0.0646,630,638,6,6,105.0,106.3
AL,100180,ATTALLA CITY,rla,-0.201,0.04668039,-0.237,0.0414,-0.374,0.04654756,-0.339,0.0419,-0.173,0.0657309,-0.102,0.0512,629,643,6,6,104.8,107.2
AL,100185,SARALAND CITY,rla,0.258,0.03720596,0.27,0.0341,0.397,0.03796859,0.379,0.0351,0.139,0.05312215,0.109,0.0445,1387,1423,6,6,231.2,237.2
AL,100185,SARALAND CITY,mth,0.278,0.05423007,0.286,0.0482,0.502,0.05261523,0.482,0.0488,0.223,0.07556207,0.196,0.0615,1388,1421,6,6,231.3,236.8
AL,100188,CHICKASAW CITY,mth,-0.957,0.07002915,-0.899,0.0593,-0.905,0.09808538,-0.907,0.0745,0.0518,0.11114067,-0.00819,0.077,464,839,5,3,92.8,279.7
AL,100188,CHICKASAW CITY,rla,-0.861,0.05657279,-0.77,0.0483,-0.533,0.06712015,-0.621,0.0496,0.328,0.09009993,0.149,0.057,558,839,6,3,93.0,279.7
AL,100189,SATSUMA CITY,mth,-0.148,0.05730518,-0.14,0.0504,-0.0297,0.05769816,-0.044,0.0529,0.118,0.08123764,0.0956,0.0645,704,680,6,6,117.3,113.3
AL,100189,SATSUMA CITY,rla,0.0754,0.04594216,0.0503,0.041,-0.0128,0.04836446,0.00729,0.0432,-0.0882,0.06651975,-0.043,0.0516,704,680,6,6,117.3,113.3
AL,100190,ALABASTER CITY,mth,-0.148,0.04903366,-0.143,0.0443,-0.0529,0.04907179,-0.0615,0.0458,0.095,0.0693506,0.0812,0.0581,2819,2839,6,6,469.8,473.2
AL,100190,ALABASTER CITY,rla,-0.0419,0.03246404,-0.0318,0.0303,0.0755,0.0328409,0.0632,0.0309,0.117,0.04611036,0.0949,0.0401,2808,2837,6,6,468.0,472.8
