fips,stateabb,sedaadmin,sedaadminname,subject,subgroup,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
1,AL,100007,HOOVER CITY,rla,all,.293,.02936632,.298,.0277,.416,.03003668,.407,.0284,.123,.04195607,.109,.0373,6384,6256,6,6,1064,1042.7
1,AL,100007,HOOVER CITY,rla,blk,-.218,.03887902,-.211,.0354,-.0868,.03887416,-.105,.0361,.131,.05486274,.107,.0463,1544,1467,6,6,257.3,244.5
1,AL,100007,HOOVER CITY,rla,ecd,-.351,.03720403,-.337,.0343,-.189,.03713492,-.207,.0346,.162,.05249928,.13,.0447,1723,1561,6,6,287.2,260.2
1,AL,100007,HOOVER CITY,rla,hsp,-.493,.09637483,-.392,.0707,-.0634,.05153998,-.113,.0472,.429,.11094144,.279,.0755,292,571,3,6,97.3,95.2
1,AL,100007,HOOVER CITY,rla,wht,.585,.03030626,.587,.0293,.645,.03125642,.636,.0303,.06,.04347722,.0487,.0409,3481,3360,6,6,580.2,560
1,AL,100008,MADISON CITY,mth,all,.469,.0491932,.428,.0444,.406,.04858011,.427,.0454,-.063,.06912202,-.00144,.0579,5019,5296,6,6,836.5,882.7
1,AL,100008,MADISON CITY,mth,blk,-.172,.05338833,-.211,.048,-.257,.052955,-.248,.0495,-.0853,.07516371,-.0364,.0633,998,1015,6,6,166.3,169.2
1,AL,100008,MADISON CITY,mth,ecd,-.195,.0527543,-.242,.0461,-.298,.06054599,-.266,.0549,-.103,.0803215,-.0241,.0629,1049,600,6,6,174.8,100
1,AL,100008,MADISON CITY,mth,hsp,.128,.06595238,.0701,.0549,.0402,.06685309,.0581,.0568,-.0883,.09389435,-.012,.0631,330,391,6,6,55,65.2
1,AL,100008,MADISON CITY,mth,wht,.623,.05229734,.598,.049,.529,.05047615,.532,.0479,-.0939,.07266177,-.066,.0646,2942,3041,6,6,490.3,506.8
1,AL,100008,MADISON CITY,rla,all,.568,.03133981,.548,.0294,.486,.03085449,.498,.0292,-.0821,.0439014,-.0505,.0386,4983,5293,6,6,830.5,882.2
1,AL,100008,MADISON CITY,rla,blk,-.00318,.04284776,-.0453,.0385,-.114,.04265939,-.0973,.0392,-.111,.06037942,-.052,.0496,998,1017,6,6,166.3,169.5
1,AL,100008,MADISON CITY,rla,ecd,-.0773,.04191416,-.105,.0381,-.18,.05058625,-.157,.0448,-.102,.06569446,-.0519,.0523,1045,603,6,6,174.2,100.5
1,AL,100008,MADISON CITY,rla,hsp,.12,.06636779,.0919,.0587,.154,.07184388,.147,.061,.0336,.09778981,.0547,.0716,326,255,6,4,54.3,63.8
1,AL,100008,MADISON CITY,rla,wht,.744,.03364674,.73,.0322,.632,.03162417,.633,.0307,-.113,.04601122,-.0973,.0429,2931,3044,6,6,488.5,507.3
1,AL,100011,LEEDS CITY,mth,all,-.378,.05562497,-.388,.0492,-.431,.05597198,-.422,.0515,-.053,.07885845,-.0346,.0633,945,944,6,6,157.5,157.3
1,AL,100011,LEEDS CITY,mth,ecd,-.661,.0623183,-.671,.0522,-.743,.06394093,-.731,.0579,-.0817,.08927572,-.0606,.0665,488,408,6,6,81.3,68
