Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
0,AL,101950,LAMAR COUNTY,-0.248,0.03925559,-0.243,0.0358,-0.212,0.04302394,-0.22,0.0391,0.0364,0.05819131,0.0234,0.0474,1039,976,6,6,173.2,162.7
5,AL,101980,LANETT CITY,-0.716,0.05596373,-0.726,0.0478,-0.781,0.05431352,-0.768,0.0479,-0.0649,0.07795955,-0.0414,0.0564,401,425,6,6,66.8,70.8
2,AL,102010,LAUDERDALE COUNTY,-0.0135,0.0299503,-0.0271,0.0282,-0.106,0.03090201,-0.0939,0.0292,-0.0926,0.04300403,-0.0669,0.038,3716,3501,6,6,619.3,583.5
8,AL,102040,LAWRENCE COUNTY,-0.288,0.03295091,-0.296,0.0307,-0.356,0.03409967,-0.348,0.0319,-0.0683,0.04739456,-0.0515,0.041,2126,2143,6,6,354.3,357.2
0,AL,102070,LEE COUNTY,-0.155,0.02981628,-0.154,0.0281,-0.13,0.03032406,-0.131,0.0287,0.0252,0.04250094,0.0236,0.0377,4388,4289,6,6,731.3,714.8
0,AL,102100,LIMESTONE COUNTY,-0.165,0.03027517,-0.178,0.0284,-0.267,0.02881287,-0.257,0.0274,-0.102,0.04175336,-0.0792,0.0371,3943,7154,6,6,657.2,1192.3
7,AL,102160,LOWNDES COUNTY,-0.78,0.04872234,-0.794,0.0428,-0.899,0.04619875,-0.876,0.0417,-0.119,0.06697383,-0.0824,0.0517,649,582,6,6,108.2,97.0
7,AL,102190,MACON COUNTY,-0.7,0.04453603,-0.733,0.0398,-0.925,0.04547655,-0.881,0.041,-0.225,0.06357065,-0.148,0.0501,861,829,6,6,143.5,138.2
0,AL,102220,MADISON COUNTY,0.115,0.02777015,0.108,0.0263,0.084,0.02818801,0.0887,0.0269,-0.0308,0.03954074,-0.019,0.0356,8737,9061,6,6,1456.2,1510.2
0,AL,102250,MARENGO COUNTY,-0.236,0.05759867,-0.271,0.0491,-0.367,0.05727144,-0.333,0.0499,-0.131,0.08119644,-0.062,0.0575,449,413,6,6,74.8,68.8
3,AL,102310,MARION COUNTY,-0.0812,0.03557308,-0.076,0.0329,-0.0157,0.03826663,-0.0242,0.0353,0.0655,0.05220096,0.0518,0.044,1497,1485,6,6,249.5,247.5
7,AL,102350,MIDFIELD CITY,-0.919,0.06116651,-0.904,0.0507,-0.927,0.05070603,-0.923,0.0456,-0.00874,0.07942371,-0.0191,0.0567,459,495,6,6,76.5,82.5
0,AL,102370,MOBILE COUNTY,-0.336,0.02590084,-0.338,0.0247,-0.353,0.02669345,-0.351,0.0255,-0.0176,0.03717567,-0.0137,0.0338,24787,24166,6,6,4131.2,4027.7
4,AL,102400,MONROE COUNTY,-0.539,0.03771943,-0.547,0.0345,-0.615,0.03787474,-0.604,0.0351,-0.0754,0.0534092,-0.0567,0.0447,1548,1450,6,6,258.0,241.7
2,AL,102430,MONTGOMERY COUNTY,-0.608,0.02736459,-0.61,0.026,-0.654,0.02779239,-0.651,0.0265,-0.0459,0.03899951,-0.0412,0.0352,13559,13100,6,6,2259.8,2183.3
8,AL,102480,MORGAN COUNTY,-0.184,0.03051007,-0.187,0.0287,-0.195,0.03115078,-0.192,0.0294,-0.0108,0.04359053,-0.00521,0.0384,3478,3427,6,6,579.7,571.2
6,AL,102490,MOUNTAIN BROOK CITY,0.707,0.03724119,0.698,0.0341,0.756,0.03578385,0.753,0.0334,0.0487,0.05149797,0.0552,0.0435,1934,1909,6,6,322.3,318.2
0,AL,102520,MUSCLE SHOALS CITY,0.147,0.03918525,0.149,0.0357,0.209,0.03995962,0.203,0.0367,0.0619,0.05593266,0.054,0.0461,1303,1290,6,6,217.2,215.0
2,AL,102550,ONEONTA CITY,-0.0403,0.04674648,-0.0132,0.0413,0.147,0.0469435,0.115,0.0421,0.187,0.06641428,0.128,0.0514,697,627,6,6,116.2,104.5
0,AL,102580,OPELIKA CITY,-0.246,0.03440294,-0.246,0.0318,-0.248,0.03396368,-0.247,0.0318,-0.00206,0.04834962,-0.000899,0.0416,2147,2355,6,6,357.8,392.5
5,AL,102610,OPP CITY,-0.251,0.05252367,-0.191,0.0453,-0.0317,0.05079159,-0.0766,0.0452,0.22,0.07318341,0.115,0.0543,607,569,6,6,101.2,94.8
8,AL,102635,OXFORD CITY,-0.0653,0.03489581,-0.0511,0.0323,0.0759,0.03604106,0.0591,0.0335,0.141,0.05012826,0.11,0.0427,1906,1902,6,6,317.7,317.0
0,AL,102640,OZARK CITY,-0.437,0.0440601,-0.427,0.0393,-0.386,0.04188319,-0.393,0.0383,0.0504,0.06084935,0.0335,0.0487,929,931,6,6,154.8,155.2
5,AL,102650,PELL CITY,-0.16,0.03498963,-0.165,0.0323,-0.187,0.03482362,-0.183,0.0325,-0.027,0.04938274,-0.0176,0.0422,1815,1890,6,6,302.5,315.0
7,AL,102670,PERRY COUNTY,-0.697,0.05108487,-0.757,0.0445,-1.03,0.05099687,-0.967,0.0453,-0.337,0.07222653,-0.21,0.054,566,497,6,6,94.3,82.8
8,AL,102700,PHENIX CITY,-0.201,0.03129565,-0.207,0.0293,-0.248,0.03184175,-0.242,0.03,-0.0467,0.04464332,-0.0348,0.0392,3356,3419,6,6,559.3,569.8
8,AL,102730,PICKENS COUNTY,-0.41,0.03943553,-0.423,0.0359,-0.513,0.04071773,-0.497,0.0373,-0.103,0.0567047,-0.0742,0.0465,1145,1064,6,6,190.8,177.3
0,AL,102760,PIEDMONT CITY,-0.0602,0.05473132,-0.024,0.0471,0.129,0.05370088,0.0877,0.0474,0.189,0.0765431,0.112,0.0558,527,501,6,6,87.8,83.5
0,AL,102790,PIKE COUNTY,-0.343,0.04205215,-0.336,0.0379,-0.298,0.04106476,-0.304,0.0377,0.0453,0.05879245,0.0313,0.0477,1039,1010,6,6,173.2,168.3
